"const","wgt","female","age","haschld","educ","educ.m","educ.f","currjob","mosinjob","yr_work1","earn_yr","white","partnered","evarrst","p_inc","hh_inc","R.educ.m","R.educ.f","R.hh_inc","I.educ.m","I.educ.f","I.hh_inc"
1,12.49659,1,17.0411,0,10,16,14.2943647895850,0,6.5,1,0.156206214805515,0,0,0,0,0,1,0,1,16,0,0
1,12.49659,0,17.12877,0,9,12,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,0,12,12,0
1,12.49659,1,16.39178,0,10,14,13,0,0,0,-0.683781229648494,0,0,0,0,0,1,1,0,14,13,0
1,9.307692,1,20.6137,1,11,7.45243459316448,9.66811186291815,0,1.25,1,-0.608061207612375,0,0,0,0,1,0,0,1,0,0,1
1,9.307692,0,18.56986,0,9,9,12,0,0,0,-0.683781229648494,0,0,1,1,1,1,1,1,9,12,1
1,12.49659,0,19.11233,0,11,12,20,1,5.5,1,-0.0851761622808585,1,0,0,0,1,1,1,1,12,20,1
1,9.307692,0,19.24932,1,10,12,12,0,4.25,1,0.870025304400981,0,0,1,0,1,1,1,0,12,12,0
1,12.49659,0,16.1863,0,9,9,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,9,12,1
1,12.49659,1,19.73151,1,12,16,16,0,3.75,1,-0.604050850889721,1,0,0,0,1,1,1,0,16,16,0
1,12.49659,0,17.21644,0,9,12,10.4373752579855,0,0,0,-0.683781229648494,0,0,0,0,1,1,0,1,12,0,1
1,6.467032,1,18.12877,1,12,11,12,0,3.5,1,-0.260702617634832,0,0,0,0,0,1,1,1,11,12,0
1,9.307692,1,16.50685,0,9,11,9.80171821911887,0,0,0,-0.683781229648494,0,0,0,0,0,1,0,1,11,0,0
1,6.467032,1,22.99452,1,12,11.7113206221058,13.5499762494099,0,0,0,-0.683781229648494,1,1,0,0,1,0,0,1,0,0,1
1,12.49659,0,17.26849,0,9,10,13,0,0,0,-0.683781229648494,1,1,1,0,1,1,1,1,10,13,1
1,9.307692,0,24.89863,1,11,11.0599874070251,9.67341281078874,1,7.25,1,0.838022946561854,0,0,0,1,1,0,0,1,0,0,1
1,12.49659,0,21.09315,0,12,11,10.2669018583796,0,8.25,1,1.24118999722528,0,0,0,0,1,1,0,1,11,0,1
1,6.467032,1,24.90959,1,11,10,12,0,0,0,-0.683781229648494,0,1,1,0,0,1,1,0,10,12,0
1,6.467032,1,16.0411,1,8,16,12,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,16,12,1
1,12.49659,0,16.63288,0,10,12,12,0,7.57324379075817,1,0.863173443810675,1,0,1,0,0,1,1,1,12,12,0
1,9.307692,1,18.91507,0,12,14,18,0,0,0,-0.683781229648494,0,0,0,0,1,1,1,1,14,18,1
1,9.307692,0,24.14795,0,11,12,12.3513213729743,0,8.25,1,1.09446142119084,0,0,0,0,0,1,0,0,12,0,0
